name,deviation,heartbeat,decimals,address
XTZ_USD,1%,24h,8,0x5239a625dEb44bF3EeAc2CD5366ba24b8e9DB63F
XVS_USD,2%,24h,8,0x558E45a0cb2F376F771b6Dcb3caC5C3f42dd74f9
YFI_ETH,1%,24h,18,0x7c5d4F8345e66f68099581Db340cd65B078C41f4
YFI_USD,1%,1h,8,0xA027702dbb89fbd58938e4324ac03B58d812b0E1
YFII_ETH,2%,1h,18,0xaaB2f6b45B28E962B3aCd1ee4fC88aEdDf557756
YGG_ETH,2%,24h,18,0xeb9De2f84F318e8c3081ccb485A6399A82344A00
ZAR_USD,0.3%,24h,8,0x438F81D95761d7036cd2617295827D9d01Cf593f
ZEC_USD,1%,24h,8,0xd54B033D48d0475f19c5fccf7484E8A981848501
ZRX_ETH,2%,24h,18,0x2Da4983a622a8498bb1a21FaE9D8F6C664939962
ZRX_USD,1%,1h,8,0x2885d15b8Af22648b98B122b22FDF4D2a56c6023
aUST_UST,0.3%,24h,18,0x73bB8A4220E5C7Db3E73e4Fcb8d7DCf2efe04805
eFIL PoR,2%,24h,18,0x8917800a6BDd8fA8b7c94E25aE2219Db28050622
sCEX_USD,1%,24h,8,0x283D433435cFCAbf00263beEF6A362b7cc5ed9f2
sDEFI_USD,1%,24h,8,0xa8E875F94138B0C5b51d1e1d5dE35bbDdd28EA87
sUSD_USD,0.5%,24h,8,0xad35Bd71b9aFE6e4bDc266B345c198eaDEf9Ad941
